panel,case_id,model,point_index,x_a,z_a,x_m,z_m,direction_displayed,arrow_x,arrow_z,force_x_n,force_y_n,force_z_n
a,hub_x+0.000_y+0.000_D1,Gor’kov + g,74,1.25,-0.4166666666666665,0.0008125,-0.0002708333333333332,True,-0.9995339071482306,-0.03052815849330256,-2.9473995749988588e-05,-1.8772445356866578e-07,-9.002063934516826e-07
a,hub_x+0.000_y+0.000_D1,Gor’kov + g,75,1.666666666666667,-0.4166666666666665,0.0010833333333333335,-0.0002708333333333332,True,-0.999741695528664,-0.02272756523414499,-3.672483109209015e-05,-2.0821059248048935e-07,-8.348816480211554e-07
a,hub_x+0.000_y+0.000_D1,Gor’kov + g,76,2.083333333333334,-0.4166666666666665,0.001354166666666667,-0.0002708333333333332,True,-0.9998371219820493,-0.018047977910351305,-4.197134760587053e-05,-1.9972066379051368e-07,-7.576213543229765e-07
a,hub_x+0.000_y+0.000_D1,Gor’kov + g,77,2.5,-0.4166666666666665,0.001625,-0.0002708333333333332,True,-0.9998868786453822,-0.015040941220374152,-4.496390842963043e-05,-1.636444233700652e-07,-6.76376016299552e-07
a,hub_x+0.000_y+0.000_D1,Gor’kov + g,78,-2.5,0.0,-0.001625,0.0,True,0.9997442798694123,-0.02261359919141668,4.487296552772173e-05,1.836376611272111e-07,-1.014998812603062e-06
a,hub_x+0.000_y+0.000_D1,Gor’kov + g,79,-2.0833333333333335,0.0,-0.0013541666666666667,0.0,True,0.9996147155833071,-0.027756447706867443,4.189599071249867e-05,2.1565913700784853e-07,-1.1633320890642288e-06
a,hub_x+0.000_y+0.000_D1,Gor’kov + g,80,-1.6666666666666665,0.0,-0.0010833333333333333,0.0,True,0.9993706757288232,-0.03547185494607001,3.666845798789027e-05,2.2253340014010763e-07,-1.3015172992682919e-06
a,hub_x+0.000_y+0.000_D1,Gor’kov + g,81,-1.25,0.0,-0.0008125,0.0,True,0.9988387680188293,-0.04817795660493858,2.9436554142523674e-05,1.9946112301155568e-07,-1.4198417937765666e-06
a,hub_x+0.000_y+0.000_D1,Gor’kov + g,82,-0.8333333333333333,0.0,-0.0005416666666666666,0.0,True,0.9973149121741975,-0.07323227399837126,2.057958022348222e-05,1.5024959530170607e-07,-1.5111470201643533e-06
a,hub_x+0.000_y+0.000_D1,Gor’kov + g,83,-0.4166666666666665,0.0,-0.0002708333333333332,0.0,True,0.9892278652982817,-0.1463838465043355,1.0583515149155267e-05,8.095004845581316e-08,-1.5661261792328376e-06
a,hub_x+0.000_y+0.000_D1,Gor’kov + g,84,0.0,0.0,0.0,0.0,True,1.0387747548253572e-06,-0.9999999999994604,1.647430594299324e-12,-5.072425709430301e-13,-1.5859363029816867e-06
a,hub_x+0.000_y+0.000_D1,Gor’kov + g,85,0.41666666666666696,0.0,0.00027083333333333354,0.0,True,-0.9892278585790091,-0.14638389191160325,-1.0583511940513194e-05,-8.095105641427745e-08,-1.5661262008640726e-06
