task,method,public_method,metric,estimate,q25,q75,iqr,minimum,maximum,range,ci95_low,ci95_high,n_valid,interval_status,bootstrap_resamples_requested,bootstrap_resamples_performed,bootstrap_seed,bootstrap_stream_seed,sampling_unit,triple_dependence
Triple,FE+g,GFE,finite_ka_stiffness_min_n_m,0.0013121721956807597,0.0013119895523830193,0.0013121838540063589,1.9430162333960478e-07,0.0012945667261510547,0.001312481624629076,1.7914898478021317e-05,0.0012945667261510547,0.001312481624629076,5,estimated,10000,10000,20260906,3.626843821739323e+18,independent command seed,target outcomes reduced within command before any resampling
Triple,FE+g,GFE,pressure_abs_at_exact_equilibrium_pa,15.007225396992782,14.995805335578753,15.022899534019084,0.027094198440330786,14.993180489224581,29.429177569281133,14.435997080056552,14.993180489224581,29.429177569281133,5,estimated,10000,10000,20260906,1.560437703324016e+18,independent command seed,target outcomes reduced within command before any resampling
Triple,FE+g,GFE,command_time_s,8.15167969999311,6.62241680000443,9.025336500009871,2.402919700005441,6.431997200008482,10.026134900006582,3.5941376999981003,6.431997200008482,10.026134900006582,5,estimated,10000,10000,20260906,5.527339092731941e+18,independent command-seed timing observation,target outcomes reduced within command before any resampling
Triple,AD,AD,field_concentration_fraction,0.1964659518834889,0.18537114934971158,0.19670618991415312,0.01133504056444154,0.17141126995945716,0.19851959389427581,0.027108323934818657,0.17141126995945716,0.19851959389427581,5,estimated,10000,10000,20260906,3.985435637234176e+17,independent command seed,target outcomes reduced within command before any resampling
Triple,AD,AD,finite_ka_displacement_a,0.7434745173276248,0.4488702071279408,0.8447894361488552,0.39591922902091436,0.3935980780639826,1.1566369350622172,0.7630388569982346,0.3935980780639826,1.1566369350622172,5,estimated,10000,10000,20260906,7.196701786497062e+17,independent command seed,target outcomes reduced within command before any resampling
Triple,AD,AD,finite_ka_stiffness_min_n_m,0.001136790704251016,0.0010419020415085554,0.001314099074649984,0.0002721970331414287,0.0009682534695585625,0.0013190986562715548,0.0003508451867129923,0.0009682534695585625,0.0013190986562715548,5,estimated,10000,10000,20260906,2.615333048402518e+18,independent command seed,target outcomes reduced within command before any resampling
Triple,AD,AD,pressure_abs_at_exact_equilibrium_pa,765.9189985420193,435.27958148562027,951.3296477619525,516.0500662763322,405.12283745927215,978.7474988217436,573.6246613624714,405.12283745927215,978.7474988217436,5,estimated,10000,10000,20260906,8.885938608489204e+18,independent command seed,target outcomes reduced within command before any resampling
Triple,AD,AD,command_time_s,0.10079580001183785,0.08274910000909586,0.115258999998332,0.032509899989236146,0.07783140000537969,0.1652780000003986,0.08744659999501891,0.07783140000537969,0.1652780000003986,5,estimated,10000,10000,20260906,3.628549648021921e+18,independent command-seed timing observation,target outcomes reduced within command before any resampling
Triple,IB,IB,field_concentration_fraction,0.1799940755219996,,,,,,,,,1,"not_applicable: one deterministic endpoint, not an independent endpoint population",10000,0,20260906,,deterministic endpoint (descriptive value only),target outcomes reduced within command before any resampling
Triple,IB,IB,finite_ka_displacement_a,1.2762881357194156,,,,,,,,,1,"not_applicable: one deterministic endpoint, not an independent endpoint population",10000,0,20260906,,deterministic endpoint (descriptive value only),target outcomes reduced within command before any resampling
Triple,IB,IB,finite_ka_stiffness_min_n_m,0.0010547853473995114,,,,,,,,,1,"not_applicable: one deterministic endpoint, not an independent endpoint population",10000,0,20260906,,deterministic endpoint (descriptive value only),target outcomes reduced within command before any resampling
Triple,IB,IB,pressure_abs_at_exact_equilibrium_pa,713.1693054051038,,,,,,,,,1,"not_applicable: one deterministic endpoint, not an independent endpoint population",10000,0,20260906,,deterministic endpoint (descriptive value only),target outcomes reduced within command before any resampling
Triple,IB,IB,command_time_s,0.010999799997080117,0.010543399999733083,0.011103800003184006,0.0005604000034509227,0.009967999998480082,0.0120632000034675,0.0020952000049874187,0.009967999998480082,0.0120632000034675,5,estimated,10000,10000,20260906,3.794725847823141e+18,serial timing repetition of one deterministic command,target outcomes reduced within command before any resampling
Triple,GS,GS,field_concentration_fraction,0.20181002823589517,,,,,,,,,1,"not_applicable: one deterministic endpoint, not an independent endpoint population",10000,0,20260906,,deterministic endpoint (descriptive value only),target outcomes reduced within command before any resampling
Triple,GS,GS,finite_ka_displacement_a,1.6174862268960764,,,,,,,,,1,"not_applicable: one deterministic endpoint, not an independent endpoint population",10000,0,20260906,,deterministic endpoint (descriptive value only),target outcomes reduced within command before any resampling
Triple,GS,GS,finite_ka_stiffness_min_n_m,0.0012329690811929085,,,,,,,,,1,"not_applicable: one deterministic endpoint, not an independent endpoint population",10000,0,20260906,,deterministic endpoint (descriptive value only),target outcomes reduced within command before any resampling
Triple,GS,GS,pressure_abs_at_exact_equilibrium_pa,916.3411344874684,,,,,,,,,1,"not_applicable: one deterministic endpoint, not an independent endpoint population",10000,0,20260906,,deterministic endpoint (descriptive value only),target outcomes reduced within command before any resampling
Triple,GS,GS,command_time_s,0.0026553000061539933,0.002466999998432584,0.00312100000155624,0.0006540000031236559,0.0023948000016389415,0.00374700000975281,0.0013522000081138685,0.0023948000016389415,0.00374700000975281,5,estimated,10000,10000,20260906,1.1506947581238647e+18,serial timing repetition of one deterministic command,target outcomes reduced within command before any resampling
