task,method,optimizer,parameter,parameter_value,metric,n_pairs,n_valid,n_missing,median,q25,q75,minimum,maximum,ci95_lo,ci95_hi
Single,FE,L-BFGS-B,alpha_factor,0.01,relative_gradient_l2,1,1,0,6.668140530177087e-05,6.668140530177087e-05,6.668140530177087e-05,6.668140530177087e-05,6.668140530177087e-05,,
Single,FE,L-BFGS-B,alpha_factor,0.01,objective_n_m,1,1,0,-0.059058830083477204,-0.059058830083477204,-0.059058830083477204,-0.059058830083477204,-0.059058830083477204,,
Single,FE,L-BFGS-B,alpha_factor,0.01,surrogate_residual_n,1,1,0,4.2357863673955343e-07,4.2357863673955343e-07,4.2357863673955343e-07,4.2357863673955343e-07,4.2357863673955343e-07,,
Single,FE,L-BFGS-B,alpha_factor,0.01,command_cosine_to_fixed_GFE,1,1,0,0.9999982840734234,0.9999982840734234,0.9999982840734234,0.9999982840734234,0.9999982840734234,,
Single,FE,L-BFGS-B,alpha_factor,0.01,field_cosine_to_fixed_GFE,1,1,0,0.9999989937437184,0.9999989937437184,0.9999989937437184,0.9999989937437184,0.9999989937437184,,
Single,FE,L-BFGS-B,alpha_factor,0.01,worst_displacement_a,1,1,0,0.07299457319837445,0.07299457319837445,0.07299457319837445,0.07299457319837445,0.07299457319837445,,
Single,FE,L-BFGS-B,alpha_factor,0.01,minimum_stiffness_n_m,1,1,0,0.0022434349879098124,0.0022434349879098124,0.0022434349879098124,0.0022434349879098124,0.0022434349879098124,,
Single,FE,L-BFGS-B,alpha_factor,0.01,common_nominal_loss_std_n_m,1,0,1,,,,,,,
Single,FE,L-BFGS-B,alpha_factor,0.03,solve_wall_s,1,1,0,0.005241899998509325,0.005241899998509325,0.005241899998509325,0.005241899998509325,0.005241899998509325,,
Single,FE,L-BFGS-B,alpha_factor,0.03,iterations,1,1,0,37.0,37.0,37.0,37.0,37.0,,
Single,FE,L-BFGS-B,alpha_factor,0.03,evaluations,1,1,0,44.0,44.0,44.0,44.0,44.0,,
Single,FE,L-BFGS-B,alpha_factor,0.03,terminal_gradient_l2,1,1,0,1.5032221332948537e-08,1.5032221332948537e-08,1.5032221332948537e-08,1.5032221332948537e-08,1.5032221332948537e-08,,
Single,FE,L-BFGS-B,alpha_factor,0.03,terminal_gradient_inf,1,1,0,5.208819328524174e-09,5.208819328524174e-09,5.208819328524174e-09,5.208819328524174e-09,5.208819328524174e-09,,
Single,FE,L-BFGS-B,alpha_factor,0.03,relative_gradient_l2,1,1,0,3.29192574942394e-05,3.29192574942394e-05,3.29192574942394e-05,3.29192574942394e-05,3.29192574942394e-05,,
Single,FE,L-BFGS-B,alpha_factor,0.03,objective_n_m,1,1,0,-0.059058745445127,-0.059058745445127,-0.059058745445127,-0.059058745445127,-0.059058745445127,,
