archive_key,geometry,gap_lambda,method,radius_lambda,iterations,synthesis_wall_s,independent_phase_coordinates,physical_sources,paired_panels_share_phase
opposed_D35p00_GS_R1p00,opposed,35.0,GS,1.0,100,0.0005728999967686,256,512,True
opposed_D35p00_GS_R1p05,opposed,35.0,GS,1.05,100,0.0005855999916093,256,512,True
opposed_D35p00_GS_R1p10,opposed,35.0,GS,1.1,100,0.0005559999990509,256,512,True
opposed_D35p00_GS_R1p15,opposed,35.0,GS,1.15,100,0.0005632999964291,256,512,True
opposed_D35p00_GS_R1p20,opposed,35.0,GS,1.2,100,0.0005718000029446,256,512,True
opposed_D35p00_GS_R1p25,opposed,35.0,GS,1.25,100,0.0005982000002404,256,512,True
opposed_D35p00_GS_R1p30,opposed,35.0,GS,1.3,100,0.000570800009882,256,512,True
opposed_D35p00_GS_R1p35,opposed,35.0,GS,1.35,100,0.0005596999981207,256,512,True
opposed_D35p00_GS_R1p40,opposed,35.0,GS,1.4,100,0.0005581000004895,256,512,True
opposed_D35p00_GS_R1p45,opposed,35.0,GS,1.45,100,0.0005469000025186,256,512,True
opposed_D35p00_GS_R1p50,opposed,35.0,GS,1.5,100,0.0005783999949926,256,512,True
opposed_D35p00_GS_R1p55,opposed,35.0,GS,1.55,100,0.000563499997952,256,512,True
opposed_D35p00_GS_R1p60,opposed,35.0,GS,1.6,100,0.0005530000053113,256,512,True
opposed_D35p00_GS_R1p65,opposed,35.0,GS,1.65,100,0.0005441999965114,256,512,True
opposed_D35p00_GS_R1p70,opposed,35.0,GS,1.7,100,0.0005487000016728,256,512,True
opposed_D35p00_GS_R1p75,opposed,35.0,GS,1.75,100,0.0005670999962603,256,512,True
opposed_D35p00_GS_R1p80,opposed,35.0,GS,1.8,100,0.0005703999922843,256,512,True
opposed_D35p00_GS_R1p85,opposed,35.0,GS,1.85,100,0.0005563000013353,256,512,True
opposed_D35p00_GS_R1p90,opposed,35.0,GS,1.9,100,0.0005549000052269,256,512,True
opposed_D35p00_GS_R1p95,opposed,35.0,GS,1.95,100,0.0005499000108102,256,512,True
opposed_D35p00_GS_R2p00,opposed,35.0,GS,2.0,100,0.000606699992204,256,512,True
opposed_D35p00_GS_R2p05,opposed,35.0,GS,2.05,100,0.000600100000156,256,512,True
opposed_D35p00_GS_R2p10,opposed,35.0,GS,2.1,100,0.0005560999998124,256,512,True
opposed_D35p00_GS_R2p15,opposed,35.0,GS,2.15,100,0.0005667000077664,256,512,True
opposed_D35p00_GS_R2p20,opposed,35.0,GS,2.2,100,0.000570999996853,256,512,True
opposed_D40p00_GS_R0p80,opposed,40.0,GS,0.8,100,0.0006103000050643,256,512,True
opposed_D40p00_GS_R0p85,opposed,40.0,GS,0.85,100,0.0007118999928934,256,512,True
opposed_D40p00_GS_R0p90,opposed,40.0,GS,0.9,100,0.0005715000006603,256,512,True
opposed_D40p00_GS_R0p95,opposed,40.0,GS,0.95,100,0.0005850000015925,256,512,True
opposed_D40p00_GS_R1p00,opposed,40.0,GS,1.0,100,0.0005760999920312,256,512,True
opposed_D40p00_GS_R1p05,opposed,40.0,GS,1.05,100,0.0005666999932145,256,512,True
opposed_D40p00_GS_R1p10,opposed,40.0,GS,1.1,100,0.0006029000069247,256,512,True
opposed_D40p00_GS_R1p15,opposed,40.0,GS,1.15,100,0.0005453000048873,256,512,True
opposed_D40p00_GS_R1p20,opposed,40.0,GS,1.2,100,0.0005696000007446,256,512,True
opposed_D40p00_GS_R1p25,opposed,40.0,GS,1.25,100,0.0005448999872896,256,512,True
opposed_D40p00_GS_R1p30,opposed,40.0,GS,1.3,100,0.0005566000036196,256,512,True
opposed_D40p00_GS_R1p35,opposed,40.0,GS,1.35,100,0.0006324999994831,256,512,True
opposed_D40p00_GS_R1p40,opposed,40.0,GS,1.4,100,0.0006148999964352,256,512,True
opposed_D40p00_GS_R1p45,opposed,40.0,GS,1.45,100,0.000566600007005,256,512,True
opposed_D40p00_GS_R1p50,opposed,40.0,GS,1.5,100,0.0005792999872937,256,512,True
opposed_D40p00_GS_R1p55,opposed,40.0,GS,1.55,100,0.0005798999918624,256,512,True
opposed_D40p00_GS_R1p60,opposed,40.0,GS,1.6,100,0.0007856000011088,256,512,True
opposed_D40p00_GS_R1p65,opposed,40.0,GS,1.65,100,0.0006492999964393,256,512,True
opposed_D40p00_GS_R1p70,opposed,40.0,GS,1.7,100,0.000565499998629,256,512,True
opposed_D40p00_GS_R1p75,opposed,40.0,GS,1.75,100,0.0005625999910989,256,512,True
opposed_D40p00_GS_R1p80,opposed,40.0,GS,1.8,100,0.000675899995258,256,512,True
opposed_D40p00_GS_R1p85,opposed,40.0,GS,1.85,100,0.0006291000026976,256,512,True
opposed_D40p00_GS_R1p90,opposed,40.0,GS,1.9,100,0.0005729000113205,256,512,True
opposed_D40p00_GS_R1p95,opposed,40.0,GS,1.95,100,0.0005696000007446,256,512,True
opposed_D40p00_GS_R2p00,opposed,40.0,GS,2.0,100,0.0006826000026194,256,512,True
opposed_D40p00_GS_R2p05,opposed,40.0,GS,2.05,100,0.00075389999256,256,512,True
opposed_D40p00_GS_R2p10,opposed,40.0,GS,2.1,100,0.0005701000045519,256,512,True
opposed_D40p00_GS_R2p15,opposed,40.0,GS,2.15,100,0.000555799997528,256,512,True
opposed_D40p00_GS_R2p20,opposed,40.0,GS,2.2,100,0.0005760999920312,256,512,True
opposed_D45p00_GS_R0p80,opposed,45.0,GS,0.8,100,0.0006114999996498,256,512,True
opposed_D45p00_GS_R0p85,opposed,45.0,GS,0.85,100,0.000562200002605,256,512,True
opposed_D45p00_GS_R0p90,opposed,45.0,GS,0.9,100,0.0005702999915229,256,512,True
opposed_D45p00_GS_R0p95,opposed,45.0,GS,0.95,100,0.0005594999965978,256,512,True
opposed_D45p00_GS_R1p00,opposed,45.0,GS,1.0,100,0.0005629999941447,256,512,True
