field_class,plane,x_m,y_m,z_m,total_force_x_n,total_force_y_n,total_force_z_n,radiation_force_x_n,radiation_force_y_n,radiation_force_z_n
Twin,XZ,-0.005,0.0,0.057,-2.140257885672196e-05,-9.224981167379681e-07,8.101659588453697e-06,-2.140257885672196e-05,-9.224981167379681e-07,9.215944867809833e-06
Twin,XZ,-0.004,0.0,0.057,-8.681096490456308e-06,-9.888004844205949e-07,9.867921433325766e-06,-8.681096490456308e-06,-9.888004844205949e-07,1.0982206712681902e-05
Twin,XZ,-0.003,0.0,0.057,1.3327523361619343e-05,-9.934626735393522e-07,7.5424195710446386e-06,1.3327523361619343e-05,-9.934626735393522e-07,8.656704850400775e-06
Twin,XZ,-0.002,0.0,0.057,2.7822875790674613e-05,-8.685529495258075e-07,1.6144213872759279e-06,2.7822875790674613e-05,-8.685529495258075e-07,2.7287066666320637e-06
Twin,XZ,-0.001,0.0,0.057,2.2570805660639723e-05,-5.946537026938654e-07,-4.583852896821755e-06,2.2570805660639723e-05,-5.946537026938654e-07,-3.469567617465619e-06
Twin,XZ,0.0,0.0,0.057,4.911115621712692e-07,-1.7449384522789903e-07,-7.097656176291203e-06,4.911115621712692e-07,-1.7449384522789903e-07,-5.983370896935067e-06
Twin,XZ,0.001,0.0,0.057,-2.1702356732393306e-05,3.8163820705434175e-07,-4.3782530629485366e-06,-2.1702356732393306e-05,3.8163820705434175e-07,-3.2639677835924006e-06
Twin,XZ,0.002000000000000001,0.0,0.057,-2.7266586343799336e-05,1.0168102981456791e-06,1.975666687826011e-06,-2.7266586343799336e-05,1.0168102981456791e-06,3.0899519671821464e-06
Twin,XZ,0.003,0.0,0.057,-1.3101542542325353e-05,1.571046471913181e-06,7.93340529297216e-06,-1.3101542542325353e-05,1.571046471913181e-06,9.047690572328296e-06
Twin,XZ,0.003999999999999999,0.0,0.057,8.689916915211163e-06,1.8847495181986559e-06,1.0187282407817374e-05,8.689916915211163e-06,1.8847495181986559e-06,1.130156768717351e-05
Twin,XZ,0.005,0.0,0.057,2.131405968618744e-05,1.9149634598001658e-06,8.29186817701929e-06,2.131405968618744e-05,1.9149634598001658e-06,9.406153456375426e-06
